audit_id,site_id,keyword,response
1,SITE-008,work_area_hazard_free/отсутствие_опасностей,No
1,SITE-008,high_risk_procedure_team/работы_повышенной_опасности,No
1,SITE-008,defective_equipment_removed/удаление_неисправного_оборудования,No
1,SITE-008,tools_inspected/проверка_инструментов,Yes
1,SITE-008,emergency_exits_marked/аварийные_выходы,Yes
1,SITE-008,adequate_lighting/освещение,Yes
1,SITE-008,competency_certified/компетентность_и_сертификация,Yes
1,SITE-008,ppe_available_condition/наличие_и_состояние_сиз,Yes
1,SITE-008,medically_fit/медицинская_подготовка,Yes
1,SITE-008,supervisor_available/наличие_руководителя,Yes
1,SITE-008,hazardous_materials_stored/хранение_опасных_материалов,N/A
1,SITE-008,equipment_certified/сертификация_оборудования,Yes
2,SITE-008,tools_inspected/проверка_инструментов,No
2,SITE-008,adequate_lighting/освещение,Yes
2,SITE-008,hazardous_materials_stored/хранение_опасных_материалов,No
2,SITE-008,high_risk_procedure_team/работы_повышенной_опасности,Yes
2,SITE-008,supervisor_available/наличие_руководителя,Yes
2,SITE-008,emergency_exits_marked/аварийные_выходы,Yes
2,SITE-008,defective_equipment_removed/удаление_неисправного_оборудования,Yes
2,SITE-008,ppe_available_condition/наличие_и_состояние_сиз,Yes
2,SITE-008,medically_fit/медицинская_подготовка,Yes
2,SITE-008,work_area_hazard_free/отсутствие_опасностей,Yes
2,SITE-008,equipment_certified/сертификация_оборудования,Yes
2,SITE-008,competency_certified/компетентность_и_сертификация,Yes
3,SITE-012,defective_equipment_removed/удаление_неисправного_оборудования,N/A
3,SITE-012,hazardous_materials_stored/хранение_опасных_материалов,Yes
3,SITE-012,tools_inspected/проверка_инструментов,Yes
3,SITE-012,high_risk_procedure_team/работы_повышенной_опасности,Yes
3,SITE-012,emergency_exits_marked/аварийные_выходы,Yes
3,SITE-012,adequate_lighting/освещение,Yes
3,SITE-012,competency_certified/компетентность_и_сертификация,Yes
3,SITE-012,medically_fit/медицинская_подготовка,Yes
3,SITE-012,ppe_available_condition/наличие_и_состояние_сиз,Yes
3,SITE-012,work_area_hazard_free/отсутствие_опасностей,Yes
3,SITE-012,equipment_certified/сертификация_оборудования,Yes
3,SITE-012,supervisor_available/наличие_руководителя,Yes
4,SITE-001,supervisor_available/наличие_руководителя,Yes
4,SITE-001,defective_equipment_removed/удаление_неисправного_оборудования,No
4,SITE-001,emergency_exits_marked/аварийные_выходы,No
4,SITE-001,hazardous_materials_stored/хранение_опасных_материалов,Yes
4,SITE-001,tools_inspected/проверка_инструментов,No
4,SITE-001,medically_fit/медицинская_подготовка,Yes
4,SITE-001,equipment_certified/сертификация_оборудования,No
4,SITE-001,high_risk_procedure_team/работы_повышенной_опасности,Yes
4,SITE-001,adequate_lighting/освещение,Yes
4,SITE-001,work_area_hazard_free/отсутствие_опасностей,No
4,SITE-001,ppe_available_condition/наличие_и_состояние_сиз,Yes
4,SITE-001,competency_certified/компетентность_и_сертификация,Yes
5,SITE-006,medically_fit/медицинская_подготовка,Yes
5,SITE-006,defective_equipment_removed/удаление_неисправного_оборудования,Yes
5,SITE-006,equipment_certified/сертификация_оборудования,No
5,SITE-006,emergency_exits_marked/аварийные_выходы,Yes
5,SITE-006,adequate_lighting/освещение,Yes
5,SITE-006,work_area_hazard_free/отсутствие_опасностей,No
5,SITE-006,tools_inspected/проверка_инструментов,Yes
5,SITE-006,hazardous_materials_stored/хранение_опасных_материалов,N/A
5,SITE-006,ppe_available_condition/наличие_и_состояние_сиз,Yes
5,SITE-006,high_risk_procedure_team/работы_повышенной_опасности,Yes
5,SITE-006,supervisor_available/наличие_руководителя,Yes
5,SITE-006,competency_certified/компетентность_и_сертификация,Yes
6,SITE-014,defective_equipment_removed/удаление_неисправного_оборудования,No
6,SITE-014,hazardous_materials_stored/хранение_опасных_материалов,Yes
6,SITE-014,supervisor_available/наличие_руководителя,Yes
6,SITE-014,equipment_certified/сертификация_оборудования,Yes
6,SITE-014,adequate_lighting/освещение,Yes
6,SITE-014,work_area_hazard_free/отсутствие_опасностей,Yes
